사원번호,부서,성과등급,연봉,근속연수,교육참가횟수,만족도
E0001,Marketing,B,73200000,14.0,5,6.0
E0002,IR,A,95100000,3.0,4,9.0
E0003,Manager,B,44700000,5.0,2,8.0
E0004,IR,B,122100000,16.0,3,8.0
E0005,IR,C,66000000,,4,8.0
E0006,HR,B,148600000,4.0,6,
E0007,Manager,C,54100000,2.0,1,8.0
E0008,Manager,B,85200000,18.0,1,6.0
E0009,Manager,B,134400000,19.0,3,2.0
E0010,IR,B,41900000,19.0,2,2.0
E0011,Marketing,C,110900000,17.0,4,8.0
E0012,Manager,C,70500000,14.0,2,1.0
E0013,Finance,A,46100000,19.0,1,6.0
E0014,IR,C,144700000,13.0,2,6.0
E0015,HR,C,149600000,12.0,1,4.0
E0016,Marketing,C,76200000,6.0,2,3.0
E0017,Finance,C,50500000,4.0,3,3.0
E0018,Finance,A,93300000,19.0,5,1.0
E0019,HR,C,63200000,16.0,3,3.0
E0020,Marketing,B,143500000,13.0,3,4.0
E0021,IR,B,129500000,4.0,5,5.0
E0022,Sales,C,41900000,17.0,5,3.0
E0023,Marketing,C,81600000,1.0,4,
E0024,HR,B,125100000,18.0,4,5.0
E0025,Finance,B,88200000,20.0,3,3.0
E0026,IR,A,65900000,17.0,3,6.0
E0027,Marketing,B,145300000,15.0,1,6.0
E0028,Sales,B,148700000,11.0,1,8.0
E0029,Sales,C,121700000,13.0,4,2.0
E0030,Manager,B,91700000,1.0,6,1.0
E0031,Manager,A,142900000,17.0,6,4.0
E0032,HR,B,47700000,6.0,4,
E0033,Marketing,C,81600000,4.0,1,3.0
E0034,Marketing,C,92100000,20.0,1,
E0035,Finance,B,109000000,16.0,6,5.0
E0036,Finance,C,72900000,15.0,2,5.0
E0037,Finance,A,147900000,15.0,2,3.0
E0038,Manager,A,117000000,6.0,1,9.0
E0039,Marketing,B,145300000,,2,4.0
E0040,Marketing,B,139900000,,5,3.0
E0041,Sales,B,76100000,11.0,4,
E0042,Manager,C,81400000,7.0,4,9.0
E0043,IR,A,142800000,9.0,1,4.0
E0044,Manager,A,50700000,16.0,3,3.0
E0045,IR,C,122600000,5.0,6,7.0
E0046,Sales,A,56100000,20.0,1,8.0
E0047,HR,B,49300000,10.0,2,2.0
E0048,Marketing,B,111200000,18.0,6,7.0
E0049,Sales,B,116100000,3.0,3,5.0
E0050,Marketing,A,121100000,13.0,2,
E0051,Finance,B,60800000,11.0,5,3.0
E0052,HR,C,78000000,17.0,2,5.0
E0053,HR,C,91700000,13.0,5,2.0
E0054,Sales,A,139900000,6.0,6,4.0
E0055,HR,C,100100000,17.0,5,6.0
E0056,IR,C,109400000,13.0,6,1.0
E0057,HR,A,149700000,19.0,6,4.0
E0058,Marketing,B,44700000,19.0,6,6.0
E0059,Marketing,B,67900000,10.0,6,9.0
E0060,Marketing,B,128100000,3.0,6,
E0061,Marketing,A,116900000,14.0,2,
E0062,IR,C,93400000,19.0,6,6.0
E0063,Manager,B,57000000,5.0,2,2.0
E0064,Finance,B,90200000,5.0,6,8.0
E0065,Sales,A,106400000,20.0,5,
E0066,Marketing,B,140400000,17.0,6,5.0
E0067,HR,A,51100000,10.0,3,5.0
E0068,Marketing,C,66200000,5.0,6,7.0
E0069,HR,A,106100000,4.0,6,9.0
E0070,Finance,A,139400000,6.0,5,9.0
E0071,Finance,A,77900000,4.0,4,9.0
E0072,Finance,A,68100000,7.0,5,6.0
E0073,HR,C,140900000,7.0,3,
E0074,Marketing,C,101600000,18.0,4,3.0
E0075,Finance,B,113100000,3.0,1,1.0
E0076,IR,C,68200000,1.0,1,7.0
E0077,HR,C,51900000,4.0,3,4.0
E0078,HR,B,74800000,6.0,5,1.0
E0079,Marketing,C,140600000,9.0,2,8.0
E0080,HR,A,72300000,14.0,3,6.0
E0081,HR,A,120700000,12.0,4,6.0
E0082,Finance,B,51300000,20.0,4,2.0
E0083,Marketing,B,94100000,4.0,6,
E0084,Finance,B,146200000,,1,2.0
E0085,Finance,A,69100000,10.0,4,4.0
E0086,Marketing,C,85600000,,3,2.0
E0087,Sales,A,68400000,3.0,4,1.0
E0088,Finance,B,141000000,14.0,3,7.0
E0089,IR,C,55600000,10.0,2,8.0
E0090,IR,C,73500000,16.0,6,6.0
E0091,HR,A,103600000,16.0,1,4.0
E0092,IR,B,112600000,10.0,4,6.0
E0093,HR,A,106500000,13.0,3,3.0
E0094,Sales,C,67300000,6.0,5,8.0
E0095,Marketing,A,46400000,12.0,1,2.0
E0096,Marketing,A,71200000,9.0,2,5.0
E0097,Marketing,B,109000000,13.0,3,1.0
E0098,IR,B,42800000,4.0,6,6.0
E0099,Sales,C,143200000,11.0,6,2.0
E0100,IR,A,74900000,20.0,2,4.0
E0101,IR,A,101100000,18.0,2,6.0
E0102,Sales,A,42000000,,6,8.0
E0103,Sales,C,78700000,4.0,4,8.0
E0104,Sales,C,94500000,,4,
E0105,Sales,B,140800000,1.0,3,4.0
E0106,Marketing,B,61300000,7.0,5,8.0
E0107,Manager,B,65200000,6.0,3,8.0
E0108,Manager,A,133000000,15.0,5,1.0
E0109,Sales,A,44600000,18.0,2,4.0
E0110,Manager,B,118500000,11.0,1,4.0
E0111,Manager,A,109900000,20.0,3,7.0
E0112,Sales,B,108300000,15.0,3,7.0
E0113,Manager,C,114300000,16.0,5,8.0
E0114,IR,B,77400000,7.0,2,5.0
E0115,HR,C,87200000,10.0,2,
E0116,HR,A,59400000,12.0,5,8.0
E0117,Sales,B,98000000,14.0,2,9.0
E0118,Marketing,A,118900000,5.0,6,3.0
E0119,Sales,C,124900000,18.0,4,3.0
E0120,Marketing,C,88400000,5.0,6,4.0
E0121,HR,C,145200000,3.0,1,5.0
E0122,Sales,A,96400000,5.0,3,1.0
E0123,Finance,A,110300000,17.0,1,7.0
E0124,IR,A,129100000,,3,
E0125,Manager,A,145800000,19.0,4,8.0
E0126,Marketing,C,91200000,12.0,2,5.0
E0127,Finance,C,149000000,9.0,6,4.0
E0128,Manager,B,140400000,1.0,5,7.0
E0129,Manager,B,87600000,18.0,6,5.0
E0130,Sales,A,122700000,4.0,4,7.0
E0131,Manager,C,50800000,,1,1.0
E0132,IR,C,86300000,7.0,5,1.0
E0133,Finance,C,106500000,1.0,2,3.0
E0134,Manager,B,88800000,17.0,4,2.0
E0135,Sales,B,58700000,2.0,5,2.0
E0136,IR,C,63200000,11.0,4,
E0137,HR,C,90600000,9.0,4,2.0
E0138,Finance,C,115800000,7.0,2,4.0
E0139,Manager,B,95700000,17.0,3,2.0
E0140,Sales,C,72400000,17.0,5,6.0
E0141,HR,C,49700000,2.0,2,8.0
E0142,HR,A,65200000,6.0,4,
E0143,Marketing,A,42300000,14.0,2,5.0
E0144,IR,B,41800000,6.0,3,4.0
E0145,Manager,C,116800000,2.0,6,3.0
E0146,Sales,C,144800000,1.0,5,5.0
E0147,Marketing,A,78000000,10.0,3,9.0
E0148,IR,B,138100000,5.0,1,8.0
E0149,Marketing,A,127900000,2.0,5,8.0
E0150,Finance,A,145300000,16.0,3,8.0
E0151,IR,A,118700000,2.0,4,8.0
E0152,IR,A,77100000,10.0,5,7.0
E0153,Manager,C,118000000,2.0,5,8.0
E0154,IR,C,52600000,16.0,2,8.0
E0155,Marketing,A,124800000,16.0,4,8.0
E0156,IR,B,117000000,19.0,1,7.0
E0157,Manager,B,93100000,7.0,6,
E0158,Manager,B,127800000,12.0,3,4.0
E0159,Finance,B,74700000,15.0,2,4.0
E0160,Marketing,A,104400000,,3,
E0161,HR,C,65500000,6.0,1,6.0
E0162,HR,B,103100000,10.0,1,4.0
E0163,IR,A,142000000,3.0,5,2.0
E0164,Finance,B,55700000,19.0,1,6.0
E0165,Sales,B,81000000,17.0,3,8.0
E0166,IR,A,71000000,7.0,4,8.0
E0167,Finance,C,135200000,,4,7.0
E0168,Marketing,C,84300000,4.0,5,6.0
E0169,Marketing,A,43000000,14.0,6,2.0
E0170,Marketing,C,140200000,20.0,3,7.0
E0171,Marketing,A,136100000,15.0,3,5.0
E0172,Marketing,A,116700000,8.0,1,6.0
E0173,Finance,A,87800000,15.0,3,8.0
E0174,Finance,C,61200000,20.0,2,
E0175,Manager,A,114600000,14.0,6,3.0
E0176,HR,B,101400000,9.0,1,7.0
E0177,Marketing,C,85600000,8.0,2,1.0
E0178,Sales,C,100600000,17.0,5,1.0
E0179,Finance,C,58600000,2.0,4,7.0
E0180,Sales,C,143800000,3.0,5,9.0
E0181,Sales,B,115600000,8.0,4,7.0
E0182,Sales,C,114000000,12.0,5,5.0
E0183,Manager,C,58100000,1.0,3,
E0184,Finance,A,106900000,10.0,2,2.0
E0185,Sales,C,133300000,20.0,4,9.0
E0186,Marketing,B,126300000,3.0,1,6.0
E0187,IR,B,85500000,6.0,2,9.0
E0188,Sales,B,44200000,7.0,1,2.0
E0189,Manager,B,102900000,20.0,2,3.0
E0190,Finance,C,43100000,18.0,2,
E0191,Manager,C,73100000,11.0,5,1.0
E0192,Sales,B,119600000,19.0,4,7.0
E0193,Finance,B,113700000,5.0,4,7.0
E0194,IR,C,49900000,,2,1.0
E0195,Sales,B,101600000,11.0,3,
E0196,Manager,A,100700000,12.0,3,8.0
E0197,HR,B,113700000,10.0,1,4.0
E0198,Marketing,B,66300000,8.0,1,5.0
E0199,Manager,A,44900000,9.0,5,2.0
E0200,Finance,A,43600000,4.0,2,9.0
E0201,Sales,C,40600000,5.0,1,6.0
E0202,Marketing,C,91800000,,1,3.0
E0203,Sales,A,110200000,9.0,6,7.0
E0204,Finance,A,66800000,15.0,2,9.0
E0205,Sales,C,107900000,15.0,5,3.0
E0206,HR,B,144700000,16.0,1,2.0
E0207,Marketing,A,129700000,14.0,5,7.0
E0208,Marketing,C,62700000,8.0,4,
E0209,Finance,B,62000000,18.0,5,4.0
E0210,HR,A,63100000,,3,9.0
E0211,Manager,B,82400000,20.0,3,8.0
E0212,Sales,C,70500000,6.0,5,1.0
E0213,IR,A,115200000,12.0,3,1.0
E0214,Sales,B,149000000,2.0,4,5.0
E0215,Sales,A,143400000,7.0,2,6.0
E0216,Manager,B,118900000,16.0,3,3.0
E0217,Sales,C,148000000,3.0,3,9.0
E0218,HR,C,129500000,13.0,5,6.0
E0219,HR,A,74800000,3.0,4,4.0
E0220,Marketing,B,119500000,18.0,2,7.0
E0221,Finance,A,123100000,11.0,5,8.0
E0222,IR,A,146000000,8.0,5,9.0
E0223,Sales,B,101200000,6.0,6,6.0
E0224,Sales,B,48700000,1.0,4,
E0225,Manager,B,93300000,1.0,2,8.0
E0226,Finance,C,127000000,8.0,4,5.0
E0227,HR,A,69400000,5.0,2,3.0
E0228,IR,A,54400000,16.0,4,3.0
E0229,Marketing,C,51300000,11.0,5,6.0
E0230,HR,B,101500000,5.0,5,
E0231,Finance,C,121000000,4.0,1,6.0
E0232,Marketing,C,86000000,6.0,3,6.0
E0233,Manager,C,103000000,14.0,6,8.0
E0234,Manager,A,95100000,19.0,4,7.0
E0235,Sales,C,60700000,9.0,6,8.0
E0236,Finance,A,46800000,12.0,1,9.0
E0237,IR,A,53000000,11.0,3,6.0
E0238,Marketing,A,88100000,14.0,4,3.0
E0239,HR,B,112800000,16.0,2,3.0
E0240,Finance,A,64100000,,3,
E0241,Finance,A,76100000,13.0,5,5.0
E0242,Manager,B,137400000,13.0,1,4.0
E0243,Sales,A,42800000,2.0,3,
E0244,Sales,C,145600000,4.0,3,9.0
E0245,Marketing,C,50400000,6.0,5,
E0246,Manager,A,44800000,5.0,4,4.0
E0247,Finance,B,59300000,3.0,2,7.0
E0248,IR,C,71900000,1.0,5,6.0
E0249,Manager,B,124600000,4.0,2,4.0
E0250,Marketing,B,105900000,20.0,4,2.0
E0251,Marketing,C,55000000,2.0,3,1.0
E0252,Manager,B,149500000,5.0,2,4.0
E0253,Marketing,C,105200000,3.0,1,4.0
E0254,Manager,B,102400000,,1,1.0
E0255,HR,C,123400000,20.0,5,6.0
E0256,Manager,A,88700000,6.0,4,4.0
E0257,Manager,C,42800000,18.0,5,1.0
E0258,Marketing,C,92700000,6.0,5,1.0
E0259,Marketing,C,52400000,19.0,6,1.0
E0260,Sales,C,111100000,12.0,5,
E0261,Sales,B,60100000,11.0,6,
E0262,HR,A,148000000,,1,2.0
E0263,Sales,C,62900000,15.0,1,7.0
E0264,Manager,B,42800000,12.0,5,8.0
E0265,Marketing,A,107000000,12.0,1,8.0
E0266,Sales,A,96800000,9.0,4,7.0
E0267,Sales,A,143300000,2.0,6,5.0
E0268,HR,A,64700000,3.0,6,1.0
E0269,Finance,C,108200000,12.0,5,9.0
E0270,HR,C,91900000,16.0,1,
E0271,Manager,B,62300000,1.0,2,2.0
E0272,Marketing,B,137500000,3.0,6,
E0273,HR,B,109000000,20.0,5,2.0
E0274,Sales,A,130900000,2.0,5,1.0
E0275,Marketing,A,44000000,9.0,4,7.0
E0276,Marketing,C,74200000,,3,2.0
E0277,Sales,A,63200000,15.0,3,2.0
E0278,HR,A,98200000,18.0,6,5.0
E0279,Sales,A,114000000,11.0,4,5.0
E0280,Finance,B,88000000,16.0,4,7.0
E0281,Marketing,B,51700000,17.0,4,1.0
E0282,IR,C,120700000,5.0,6,8.0
E0283,IR,A,102000000,12.0,3,3.0
E0284,Manager,A,69700000,11.0,4,4.0
E0285,Sales,C,76500000,15.0,1,9.0
E0286,Sales,A,102900000,3.0,5,4.0
E0287,Manager,A,85900000,1.0,5,5.0
E0288,Manager,B,145400000,20.0,2,7.0
E0289,Manager,C,81600000,16.0,2,4.0
E0290,Marketing,C,92300000,2.0,6,1.0
E0291,Finance,C,91300000,2.0,6,9.0
E0292,Sales,C,115400000,3.0,5,4.0
E0293,Marketing,B,80100000,8.0,1,9.0
E0294,Manager,B,41900000,15.0,3,6.0
E0295,Sales,A,60500000,7.0,3,1.0
E0296,Marketing,A,87700000,6.0,6,3.0
E0297,Finance,A,124100000,9.0,1,2.0
E0298,Marketing,A,100000000,20.0,6,9.0
E0299,Finance,B,121900000,1.0,3,
E0300,Manager,C,54600000,8.0,6,9.0
E0301,Finance,B,84800000,3.0,4,
E0302,Sales,A,74300000,4.0,6,8.0
E0303,Manager,B,45400000,15.0,5,
E0304,Sales,C,105100000,6.0,6,1.0
E0305,IR,C,62300000,15.0,5,
E0306,HR,B,143000000,3.0,1,3.0
E0307,Finance,B,142300000,14.0,3,7.0
E0308,HR,B,115900000,20.0,2,1.0
E0309,HR,A,50100000,14.0,2,1.0
E0310,Finance,B,74100000,4.0,3,5.0
E0311,Manager,B,100700000,12.0,2,5.0
E0312,IR,B,123100000,17.0,6,8.0
E0313,Sales,C,103900000,7.0,1,
E0314,Marketing,C,118000000,9.0,1,8.0
E0315,Sales,A,42000000,3.0,3,6.0
E0316,Marketing,A,117400000,13.0,2,6.0
E0317,Sales,C,131100000,15.0,6,
E0318,Finance,C,118300000,18.0,1,6.0
E0319,IR,C,82400000,19.0,1,5.0
E0320,Marketing,B,75500000,1.0,4,3.0
E0321,Manager,B,145700000,,4,6.0
E0322,Sales,C,72400000,2.0,1,8.0
E0323,Sales,B,133200000,14.0,3,9.0
E0324,Marketing,B,136500000,6.0,5,1.0
E0325,Manager,A,77700000,14.0,5,3.0
E0326,Manager,C,138900000,4.0,6,3.0
E0327,Finance,C,113700000,8.0,1,8.0
E0328,Finance,B,146200000,3.0,1,
E0329,Finance,C,129200000,19.0,1,5.0
E0330,Finance,A,61700000,14.0,3,3.0
E0331,Finance,A,81400000,20.0,4,2.0
E0332,Finance,A,84800000,17.0,1,8.0
E0333,IR,C,73800000,8.0,1,3.0
E0334,Manager,C,70300000,14.0,2,7.0
E0335,Finance,C,72900000,6.0,3,1.0
E0336,Manager,C,83300000,16.0,6,6.0
E0337,Manager,C,113500000,19.0,1,3.0
E0338,HR,A,141300000,14.0,2,8.0
E0339,IR,B,69100000,19.0,5,6.0
E0340,Finance,A,139100000,3.0,6,2.0
E0341,Sales,C,55500000,10.0,1,
E0342,Marketing,A,99400000,19.0,1,7.0
E0343,Sales,C,140300000,9.0,2,5.0
E0344,IR,C,133500000,20.0,3,3.0
E0345,Marketing,A,44300000,13.0,1,4.0
E0346,IR,C,73900000,7.0,5,4.0
E0347,Manager,B,119100000,14.0,1,
E0348,Marketing,C,111200000,9.0,5,1.0
E0349,Manager,B,146900000,19.0,6,4.0
E0350,Sales,B,137100000,15.0,6,
E0351,Sales,C,74200000,20.0,4,1.0
E0352,Marketing,A,71300000,14.0,4,9.0
E0353,Marketing,B,85800000,6.0,5,4.0
E0354,Finance,A,136500000,4.0,3,7.0
E0355,IR,B,146900000,8.0,1,3.0
E0356,Finance,C,146800000,17.0,1,3.0
E0357,IR,C,107200000,9.0,4,8.0
E0358,Finance,B,148100000,1.0,5,8.0
E0359,Manager,C,119500000,20.0,1,1.0
E0360,Marketing,B,148000000,14.0,1,
E0361,Sales,C,132500000,11.0,3,8.0
E0362,IR,A,100200000,3.0,2,1.0
E0363,IR,C,96300000,9.0,4,8.0
E0364,Sales,A,92200000,14.0,4,8.0
E0365,Finance,C,60600000,9.0,2,2.0
E0366,IR,A,68100000,4.0,1,4.0
E0367,Manager,C,89400000,4.0,3,6.0
E0368,Marketing,A,149200000,8.0,3,9.0
E0369,Sales,B,118500000,2.0,4,8.0
E0370,Marketing,B,103500000,9.0,3,8.0
E0371,IR,A,145300000,14.0,6,7.0
E0372,IR,C,146200000,9.0,2,9.0
E0373,Sales,A,53900000,16.0,1,2.0
E0374,Manager,C,121500000,17.0,6,3.0
E0375,HR,B,92200000,16.0,2,8.0
E0376,Sales,C,75000000,12.0,5,
E0377,HR,B,119600000,3.0,4,9.0
E0378,Finance,C,99700000,11.0,3,4.0
E0379,HR,C,51000000,14.0,5,8.0
E0380,Manager,C,73700000,18.0,3,3.0
E0381,Finance,A,95700000,5.0,6,3.0
E0382,HR,A,68700000,16.0,1,8.0
E0383,Finance,B,105100000,20.0,1,
E0384,HR,B,79500000,5.0,1,3.0
E0385,Manager,A,80000000,3.0,3,1.0
E0386,HR,B,93600000,12.0,5,
E0387,HR,A,145400000,1.0,1,9.0
E0388,HR,C,132700000,9.0,5,5.0
E0389,Sales,B,114000000,9.0,3,2.0
E0390,Sales,B,119500000,4.0,6,7.0
E0391,Sales,A,60500000,3.0,5,2.0
E0392,Manager,B,113100000,17.0,6,4.0
E0393,Finance,B,147400000,2.0,3,7.0
E0394,IR,C,125600000,,3,4.0
E0395,HR,B,81500000,8.0,4,
E0396,HR,C,149000000,13.0,3,7.0
E0397,Manager,A,117800000,15.0,3,1.0
E0398,HR,B,64200000,8.0,2,6.0
E0399,Sales,C,129300000,12.0,1,9.0
E0400,IR,A,146500000,,4,2.0
E0401,Marketing,B,96700000,14.0,4,3.0
E0402,HR,A,83400000,15.0,4,5.0
E0403,Sales,B,71800000,15.0,2,9.0
E0404,Marketing,A,115100000,,6,4.0
E0405,IR,A,105100000,19.0,3,1.0
E0406,Marketing,C,88500000,20.0,1,4.0
E0407,Sales,A,47600000,8.0,5,6.0
E0408,Finance,B,111500000,19.0,6,5.0
E0409,Finance,B,146100000,6.0,3,1.0
E0410,Marketing,C,101200000,20.0,2,4.0
E0411,Manager,B,115900000,19.0,3,6.0
E0412,Marketing,B,143500000,4.0,3,4.0
E0413,HR,B,90500000,,2,9.0
E0414,HR,A,110800000,4.0,4,5.0
E0415,Finance,A,117800000,12.0,4,8.0
E0416,Manager,B,149500000,13.0,1,9.0
E0417,Sales,C,121800000,3.0,1,
E0418,HR,A,57700000,12.0,4,6.0
E0419,Finance,C,57600000,2.0,6,1.0
E0420,IR,B,48400000,2.0,5,7.0
E0421,Finance,B,135300000,9.0,3,4.0
E0422,HR,A,141500000,1.0,5,2.0
E0423,HR,B,112800000,8.0,3,5.0
E0424,Finance,A,89300000,6.0,4,3.0
E0425,Sales,B,97300000,6.0,1,6.0
E0426,Marketing,B,120200000,18.0,6,8.0
E0427,HR,A,106300000,17.0,1,7.0
E0428,Finance,A,95600000,12.0,5,3.0
E0429,Finance,A,96600000,6.0,1,8.0
E0430,Manager,B,69500000,8.0,4,2.0
E0431,Marketing,B,108300000,19.0,6,9.0
E0432,IR,C,70100000,10.0,5,4.0
E0433,Sales,A,43100000,1.0,6,1.0
E0434,IR,B,112000000,13.0,3,8.0
E0435,Marketing,B,121700000,17.0,1,7.0
E0436,Marketing,A,145300000,3.0,6,5.0
E0437,Marketing,C,89100000,8.0,2,5.0
E0438,IR,A,54100000,14.0,1,7.0
E0439,Marketing,C,72800000,3.0,3,5.0
E0440,Finance,B,124100000,16.0,6,8.0
E0441,IR,C,62400000,13.0,5,6.0
E0442,Marketing,B,134200000,20.0,3,
E0443,Finance,A,75600000,17.0,2,9.0
E0444,Manager,A,64700000,13.0,6,2.0
E0445,Marketing,A,61200000,6.0,4,1.0
E0446,IR,C,107900000,17.0,1,8.0
E0447,HR,B,136600000,14.0,5,3.0
E0448,Marketing,A,54500000,17.0,4,7.0
E0449,HR,A,66600000,8.0,6,8.0
E0450,Finance,B,84400000,11.0,6,
E0451,Manager,A,80600000,20.0,3,9.0
E0452,Sales,B,64000000,1.0,6,7.0
E0453,Manager,B,146200000,7.0,5,5.0
E0454,Marketing,B,108200000,17.0,4,8.0
E0455,HR,B,143700000,10.0,5,2.0
E0456,HR,B,137100000,11.0,2,7.0
E0457,IR,C,112600000,9.0,2,4.0
E0458,HR,A,103900000,9.0,1,9.0
E0459,IR,C,139400000,5.0,1,1.0
E0460,Finance,A,127100000,17.0,2,7.0
E0461,Sales,C,122400000,9.0,6,6.0
E0462,Marketing,B,48500000,17.0,5,8.0
E0463,IR,A,58700000,19.0,2,5.0
E0464,Sales,A,86600000,7.0,1,1.0
E0465,HR,C,139600000,9.0,2,1.0
E0466,HR,C,73900000,7.0,6,9.0
E0467,Sales,A,88300000,13.0,2,6.0
E0468,HR,C,140500000,11.0,5,5.0
E0469,Finance,C,69700000,14.0,4,1.0
E0470,Finance,C,61000000,19.0,6,6.0
E0471,Sales,B,121800000,11.0,1,6.0
E0472,IR,B,123100000,13.0,5,3.0
E0473,IR,C,61900000,14.0,2,
E0474,Sales,C,97300000,,2,1.0
E0475,IR,B,122000000,1.0,4,1.0
E0476,IR,B,71900000,8.0,1,
E0477,Finance,A,104200000,,1,1.0
E0478,IR,A,105100000,19.0,3,6.0
E0479,Manager,B,77600000,12.0,1,1.0
E0480,Marketing,C,130800000,8.0,4,6.0
E0481,HR,C,61800000,8.0,3,3.0
E0482,Manager,C,142500000,13.0,3,8.0
E0483,IR,C,47300000,12.0,2,
E0484,Finance,A,91800000,16.0,2,1.0
E0485,Sales,B,90800000,1.0,1,5.0
E0486,IR,C,123100000,13.0,3,8.0
E0487,Finance,A,128000000,7.0,2,3.0
E0488,Marketing,C,52100000,5.0,4,
E0489,IR,B,96800000,8.0,2,
E0490,Sales,A,130500000,14.0,6,
E0491,Finance,B,149000000,13.0,6,1.0
E0492,Finance,B,54900000,15.0,2,7.0
E0493,Finance,A,64000000,17.0,3,9.0
E0494,Marketing,A,122400000,15.0,3,2.0
E0495,IR,A,91100000,20.0,5,5.0
